wikidata_uri,codistat
http://www.wikidata.org/entity/Q10358,001302
http://www.wikidata.org/entity/Q10354,001303
http://www.wikidata.org/entity/Q10359,001304
http://www.wikidata.org/entity/Q10355,001305
http://www.wikidata.org/entity/Q10356,001306
http://www.wikidata.org/entity/Q10357,001307
http://www.wikidata.org/entity/Q10360,001308
http://www.wikidata.org/entity/Q10361,001309
http://www.wikidata.org/entity/Q10362,001310
http://www.wikidata.org/entity/Q10364,001311
http://www.wikidata.org/entity/Q10366,001312
http://www.wikidata.org/entity/Q10369,001313
http://www.wikidata.org/entity/Q10370,001314
http://www.wikidata.org/entity/Q10373,001315
http://www.wikidata.org/entity/Q2655357,001316
http://www.wikidata.org/entity/Q59770834,001318
http://www.wikidata.org/entity/Q24848,002002
http://www.wikidata.org/entity/Q24850,002003
http://www.wikidata.org/entity/Q24852,002004
http://www.wikidata.org/entity/Q24854,002006
http://www.wikidata.org/entity/Q24858,002007
http://www.wikidata.org/entity/Q24859,002008
http://www.wikidata.org/entity/Q24868,002009
http://www.wikidata.org/entity/Q24873,002011
http://www.wikidata.org/entity/Q24877,002014
http://www.wikidata.org/entity/Q24896,002015
http://www.wikidata.org/entity/Q24901,002016
http://www.wikidata.org/entity/Q24883,002017
http://www.wikidata.org/entity/Q24912,002021
http://www.wikidata.org/entity/Q24918,002025
http://www.wikidata.org/entity/Q24924,002029
http://www.wikidata.org/entity/Q24937,002030
http://www.wikidata.org/entity/Q24963,002031
http://www.wikidata.org/entity/Q24967,002032
http://www.wikidata.org/entity/Q24973,002033
http://www.wikidata.org/entity/Q25205,002035
http://www.wikidata.org/entity/Q24986,002041
http://www.wikidata.org/entity/Q24991,002042
http://www.wikidata.org/entity/Q24997,002043
http://www.wikidata.org/entity/Q25009,002045
http://www.wikidata.org/entity/Q25025,002047
http://www.wikidata.org/entity/Q25031,002048
http://www.wikidata.org/entity/Q25036,002049
http://www.wikidata.org/entity/Q25045,002052
http://www.wikidata.org/entity/Q25050,002054
http://www.wikidata.org/entity/Q25056,002057
http://www.wikidata.org/entity/Q25066,002058
http://www.wikidata.org/entity/Q25071,002059
http://www.wikidata.org/entity/Q25076,002061
http://www.wikidata.org/entity/Q25084,002062
http://www.wikidata.org/entity/Q25124,002065
http://www.wikidata.org/entity/Q25126,002066
http://www.wikidata.org/entity/Q25127,002067
http://www.wikidata.org/entity/Q25131,002068
http://www.wikidata.org/entity/Q25133,002070
http://www.wikidata.org/entity/Q25136,002071
http://www.wikidata.org/entity/Q25137,002072
http://www.wikidata.org/entity/Q25142,002078
http://www.wikidata.org/entity/Q25145,002079
http://www.wikidata.org/entity/Q25155,002082
http://www.wikidata.org/entity/Q25160,002088
http://www.wikidata.org/entity/Q25165,002089
http://www.wikidata.org/entity/Q25166,002090
http://www.wikidata.org/entity/Q25170,002091
http://www.wikidata.org/entity/Q25171,002093
http://www.wikidata.org/entity/Q25172,002096
http://www.wikidata.org/entity/Q25174,002097
http://www.wikidata.org/entity/Q25175,002102
http://www.wikidata.org/entity/Q25176,002104
http://www.wikidata.org/entity/Q25179,002107
http://www.wikidata.org/entity/Q25181,002108
http://www.wikidata.org/entity/Q25183,002110
http://www.wikidata.org/entity/Q25187,002113
http://www.wikidata.org/entity/Q25192,002115
http://www.wikidata.org/entity/Q25193,002116
http://www.wikidata.org/entity/Q25194,002118
http://www.wikidata.org/entity/Q25195,002121
http://www.wikidata.org/entity/Q25196,002122
http://www.wikidata.org/entity/Q25199,002126
http://www.wikidata.org/entity/Q25202,002127
http://www.wikidata.org/entity/Q25203,002128
http://www.wikidata.org/entity/Q25204,002131
http://www.wikidata.org/entity/Q25206,002133
http://www.wikidata.org/entity/Q25208,002134
http://www.wikidata.org/entity/Q25209,002135
http://www.wikidata.org/entity/Q25210,002137
http://www.wikidata.org/entity/Q25211,002142
http://www.wikidata.org/entity/Q25212,002147
http://www.wikidata.org/entity/Q25213,002148
http://www.wikidata.org/entity/Q25214,002150
http://www.wikidata.org/entity/Q25215,002152
http://www.wikidata.org/entity/Q25216,002156
http://www.wikidata.org/entity/Q5990,002158
http://www.wikidata.org/entity/Q25217,002163
http://www.wikidata.org/entity/Q25218,002164
http://www.wikidata.org/entity/Q25219,002166
http://www.wikidata.org/entity/Q47008453,002170
http://www.wikidata.org/entity/Q47008454,002171
http://www.wikidata.org/entity/Q22030,003001
http://www.wikidata.org/entity/Q22039,003002
http://www.wikidata.org/entity/Q22045,003006
http://www.wikidata.org/entity/Q22052,003008
http://www.wikidata.org/entity/Q22056,003012
http://www.wikidata.org/entity/Q22070,003016
http://www.wikidata.org/entity/Q22075,003018
http://www.wikidata.org/entity/Q22079,003019
http://www.wikidata.org/entity/Q22088,003021
http://www.wikidata.org/entity/Q22095,003022
http://www.wikidata.org/entity/Q22105,003023
http://www.wikidata.org/entity/Q22111,003024
http://www.wikidata.org/entity/Q22098,003025
http://www.wikidata.org/entity/Q22116,003026
http://www.wikidata.org/entity/Q22120,003027
http://www.wikidata.org/entity/Q22125,003030
http://www.wikidata.org/entity/Q22129,003032
http://www.wikidata.org/entity/Q22135,003036
http://www.wikidata.org/entity/Q22140,003037
http://www.wikidata.org/entity/Q22145,003039
http://www.wikidata.org/entity/Q22149,003040
http://www.wikidata.org/entity/Q22155,003041
http://www.wikidata.org/entity/Q22158,003042
http://www.wikidata.org/entity/Q22161,003043
http://www.wikidata.org/entity/Q22165,003044
http://www.wikidata.org/entity/Q22170,003045
http://www.wikidata.org/entity/Q22173,003047
http://www.wikidata.org/entity/Q22176,003049
http://www.wikidata.org/entity/Q22182,003051
http://www.wikidata.org/entity/Q22189,003052
http://www.wikidata.org/entity/Q22191,003055
http://www.wikidata.org/entity/Q22197,003058
http://www.wikidata.org/entity/Q22203,003060
http://www.wikidata.org/entity/Q22216,003062
http://www.wikidata.org/entity/Q22226,003065
http://www.wikidata.org/entity/Q22266,003066
http://www.wikidata.org/entity/Q22430,003068
http://www.wikidata.org/entity/Q22446,003069
